,Unnamed: 0,Unnamed: 0.1,latitude,longitude,address
65,65,65,53.3603,83.6983,"196А, улица Антона Петрова, Ленинский район, Барнаул, городской округ Барнаул, Алтайский край, СФО, 656054, РФ"
66,66,66,56.1842,52.4778,"Алнашское сельское поселение, Алнашский район, Удмуртия, Приволжский федеральный округ, 427880, РФ"
67,67,67,43.5813,39.7663,"16/2, Тепличная улица, Бытха, Краевско-Греческое, Хостинский внутригородской район, Раздольное, городской округ Сочи, Краснодарский край, ЮФО, 354004, РФ"
68,68,68,56.28289912,37.48886225,"33А, улица Ленина, Андреевское, Яхрома, Дмитровский городской округ, Московская область, ЦФО, 141840, РФ"
69,69,69,55.46218081,37.55301335,"Подольск, городской округ Подольск, Московская область, ЦФО, 142100, РФ"
70,70,70,55.3385,38.618,"Константиново, Воскресенский район, Московская область, ЦФО, 140207, РФ"
71,71,71,54.57867056,36.25438747,"336А, Московская улица, Московский округ, Кубяка, Калуга, городской округ Калуга, Калужская область, ЦФО, 248001, РФ"
72,72,72,56.77407779999999,60.5920887,"17, Дорожная улица, Триумф, Вторчермет, Чкаловский район, Екатеринбург, городской округ Екатеринбург, Свердловская область, Уральский федеральный округ, 620085, РФ"
73,73,73,56.1399,40.3813,"ООО СтройДом, 1, 3-й Кирпичный проезд, Веризино, Октябрьский район, Владимир, городской округ Владимир, Владимирская область, ЦФО, 600000, РФ"
74,74,74,64.5838,30.606,"TourExpert, 11, улица Калевала, Костомукша, Костомукшский городской округ, Республика Карелия, Северо-Западный федеральный округ, 186931, РФ"
75,75,75,51.4132,36.75,"улица Ленина, городское поселение Солнцево, Солнцевский район, Курская область, ЦФО, РФ"
76,76,76,55.6757,37.4952,"62, проспект Вернадского, Проспект Вернадского, район Проспект Вернадского, Западный административный округ, Москва, ЦФО, 119415, РФ"
77,77,77,54.8637,61.1758,"Первомайское, улица Нечепуренко, Первомайское городское поселение, Коркинский район, Челябинская область, Уральский федеральный округ, 456541, РФ"
78,78,78,51.7375,58.7969,"Магнит продовольственный магазин, 2-й микрорайон, Энергетикский поссовет, Новоорский район, Оренбургская область, Приволжский федеральный округ, РФ"
79,79,79,56.0275,35.9485,"Пятёрочка, проезд Строителей, Новопетровское, городское поселение Волоколамск, Волоколамский район, Московская область, ЦФО, 143600, РФ"
80,80,80,47.7533,39.9335,"2, проспект Ленина, Горловка, Новошахтинск, городской округ Новошахтинск, РОС, ЮФО, 346914, РФ"
81,81,81,54.999,73.3786,"КПД, Октябрьская улица, Куйбышевский, Центральный административный округ, Омск, городской округ Омск, Омская область, СФО, 644000, РФ"
82,82,82,56.3214,30.5169,"Магнит, Октябрьский проспект, Смоляниново, Великие Луки, городской округ Великие Луки, Псковская область, Северо-Западный федеральный округ, 182100, РФ"
83,83,83,60.7308,77.5993,"Рассвет, Сибирская улица, 5-й микрорайон, Стрежевой, городской округ Стрежевой, Томская область, СФО, 636780, РФ"
84,84,84,54.7895,56.2355,"улица Советов, Шакша, Калининский район, Уфа, городской округ Уфа, Башкортостан, Приволжский федеральный округ, 450000, РФ"
85,85,85,55.7818,38.62,"36, улица 1-го Мая, Прокунино, Павловский Посад, городской округ Павловский Посад, Московская область, ЦФО, 142506, РФ"
86,86,86,57.3099,52.1401,"Пятёрочка, 4, Первомайская улица, Селтинское сельское поселение, Селтинский район, Удмуртия, Приволжский федеральный округ, 427270, РФ"
87,87,87,55.6493,37.6062,"25, Симферопольский бульвар, Нагорный, Нагорный район, Южный административный округ, Москва, ЦФО, 117452, РФ"
